iteration,kv_tokens,context_pct,wall_total_s,wall_ttft_s,wall_prefill_tok_s,prefill_tokens,wall_decode_tok_s,wall_decode_s,decode_tokens,commit_overhead_s,commit_tokens,phase_template_build_s,phase_prefill_s
1,485,1.4801,1.51996,0.324732,806.818,262,193.087,1.14456,221,0.0506605,2,0.0006928,0.293591
2,703,2.14539,0.316831,0.149622,1236.45,185,208.606,0.148605,31,0.0186031,2,0.0020554,0.125946
3,924,2.81982,0.294532,0.110902,1668.14,185,205.604,0.165367,34,0.0182637,2,0.0018518,0.0810007
4,1204,3.67432,0.586851,0.0957497,1932.12,185,193.74,0.480025,93,0.0110765,2,0.0018424,0.0765269
5,1487,4.53796,0.623055,0.108148,1710.62,185,193.185,0.496933,96,0.0179736,2,0.0018338,0.0883432
6,1707,5.20935,0.277465,0.0979625,1888.48,185,204.945,0.161019,33,0.018484,2,0.0019169,0.0734375
7,1926,5.87769,0.282167,0.106955,1729.7,185,203.946,0.156904,32,0.0183082,2,0.0018237,0.0832044
8,2172,6.62842,0.42949,0.10906,1696.31,185,195.007,0.302553,59,0.0178765,2,0.0018863,0.0885703
9,2419,7.3822,0.427495,0.103432,1788.61,185,195.641,0.306685,60,0.0173788,2,0.0018442,0.0831933
10,2639,8.05359,0.273798,0.100837,1834.65,185,208.788,0.158055,33,0.0149068,2,0.0018292,0.0757513
11,2860,8.72803,0.281644,0.100575,1839.42,185,199.909,0.170077,34,0.0109916,2,0.0019031,0.0760621
12,3079,9.39636,0.28809,0.110885,1668.4,185,193.218,0.165616,32,0.0115891,2,0.0018581,0.0836813
13,3297,10.0616,0.28458,0.114885,1610.31,185,205.06,0.151175,31,0.0185195,2,0.0018016,0.0869181
14,3521,10.7452,0.303594,0.105344,1756.16,185,198.159,0.186719,37,0.0115314,2,0.0018853,0.0820032
15,3741,11.4166,0.287433,0.106277,1740.74,185,197.713,0.166909,33,0.0142469,2,0.0020202,0.0818203
16,3962,12.0911,0.276687,0.0967648,1911.85,185,200.972,0.169178,34,0.010745,2,0.0018846,0.0706847
17,4182,12.7625,0.281736,0.0970487,1906.26,185,198.48,0.166263,33,0.0184242,2,0.0018968,0.0705432
18,4403,13.4369,0.291978,0.103044,1795.35,185,199.773,0.170193,34,0.0187409,2,0.0017309,0.0791729
19,4626,14.1174,0.315135,0.110042,1681.18,185,190.875,0.188605,36,0.0164886,2,0.0018631,0.0862936
20,4846,14.7888,0.278558,0.103934,1779.97,185,201.485,0.163784,33,0.0108388,2,0.0017473,0.0816596
21,5066,15.4602,0.274689,0.0969539,1908.12,185,197.858,0.166786,33,0.0109483,2,0.0018219,0.0720712
22,5286,16.1316,0.290931,0.106468,1737.61,185,196.413,0.168013,33,0.0164497,2,0.0018978,0.0830251
23,5509,16.8121,0.305204,0.10649,1737.25,185,191.681,0.187812,36,0.0109025,2,0.0018406,0.0814374
24,5730,17.4866,0.289546,0.105167,1759.11,185,196.383,0.173131,34,0.0112485,2,0.0020107,0.0792781
25,5953,18.1671,0.304873,0.110578,1673.02,185,197.229,0.182529,36,0.0117658,2,0.0018715,0.0834695
26,6172,18.8354,0.300392,0.110227,1678.36,185,184.617,0.173332,32,0.0168339,2,0.0018603,0.0775076
27,6392,19.5068,0.288322,0.107708,1717.61,185,197.267,0.167286,33,0.0133287,2,0.0017826,0.0833684
28,6611,20.1752,0.289679,0.108258,1708.89,185,196.677,0.162703,32,0.0187177,2,0.001958,0.082024
29,6832,20.8496,0.311812,0.117153,1579.13,185,189.46,0.179458,34,0.0152016,2,0.0018038,0.0904433
30,7054,21.5271,0.287489,0.0984343,1879.43,185,197.124,0.177553,35,0.0115023,2,0.0018741,0.0710242
31,7277,22.2076,0.295886,0.0993476,1862.15,185,194.329,0.185253,36,0.011286,2,0.0019843,0.0706956
32,7500,22.8882,0.294579,0.0998665,1852.47,185,195.904,0.183764,36,0.0109491,2,0.0019793,0.0721363
33,7721,23.5626,0.287842,0.103729,1783.49,185,196.691,0.17286,34,0.0112528,2,0.0019302,0.076024
34,7943,24.2401,0.295555,0.0988252,1871.99,185,188.239,0.185934,35,0.0107965,2,0.0019797,0.071997
35,8169,24.9298,0.311557,0.0990884,1867.02,185,194.229,0.200794,39,0.0116743,2,0.0019808,0.0723746
36,8391,25.6073,0.291192,0.100706,1837.03,185,195.055,0.179437,35,0.011049,2,0.0018645,0.0718843
37,8614,26.2878,0.302839,0.10128,1826.61,185,189.33,0.190144,36,0.0114147,2,0.0018992,0.0726085
38,8837,26.9684,0.304712,0.100043,1849.2,185,186.357,0.193178,36,0.0114913,2,0.001949,0.0730809
39,9058,27.6428,0.287828,0.101011,1831.48,185,194.021,0.175238,34,0.0115787,2,0.0018455,0.0715292
40,9277,28.3112,0.282342,0.104923,1763.19,185,192.47,0.16626,32,0.0111597,2,0.0018706,0.0772015
41,9500,28.9917,0.309865,0.0983564,1880.91,185,179.467,0.200594,36,0.0109149,2,0.0018838,0.0724889
42,9721,29.6661,0.291052,0.103635,1785.11,185,192.951,0.176211,34,0.0112067,2,0.0018742,0.0759249
43,9942,30.3406,0.290245,0.10111,1829.7,185,191.876,0.177198,34,0.0119378,2,0.0017941,0.0729807
44,10164,31.0181,0.295409,0.1033,1790.9,185,193.135,0.18122,35,0.0108885,2,0.0020592,0.0728135
45,10386,31.6956,0.296475,0.100382,1842.96,185,189.633,0.184567,35,0.0115258,2,0.0020184,0.0720012
46,10606,32.3669,0.285283,0.102015,1813.47,185,191.601,0.172233,33,0.0110348,2,0.0020286,0.0719104
47,10828,33.0444,0.301102,0.103631,1785.17,185,187.859,0.18631,35,0.0111613,2,0.0018337,0.0739182
48,11048,33.7158,0.291981,0.104006,1778.75,185,187.757,0.175759,33,0.0122165,2,0.0019047,0.0759981
49,11269,34.3903,0.304759,0.103264,1791.52,185,179.18,0.189754,34,0.0117415,2,0.0018483,0.0742333
50,11488,35.0586,0.284355,0.102382,1806.95,185,187.425,0.170735,32,0.0112382,2,0.0019742,0.0737397
51,11711,35.7391,0.308883,0.104318,1773.43,185,186.455,0.193077,36,0.0114888,2,0.0018387,0.0741912
52,11931,36.4105,0.299278,0.106583,1735.74,185,182.136,0.181183,33,0.0115119,2,0.0018393,0.0745578
53,12152,37.085,0.302832,0.105178,1758.92,185,182.955,0.185838,34,0.0118162,2,0.0018717,0.0748588
54,12372,37.7563,0.293906,0.102286,1808.66,185,183.295,0.180037,33,0.0115834,2,0.0019242,0.073581
55,12593,38.4308,0.305567,0.108878,1699.16,185,183.472,0.185314,34,0.0113751,2,0.00187,0.0791833
56,12811,39.0961,0.288846,0.102814,1799.37,185,177.956,0.1742,31,0.0118325,2,0.0018751,0.0740295
57,13032,39.7705,0.304275,0.103167,1793.21,185,179.359,0.189564,34,0.0115449,2,0.0018775,0.0744451
58,13252,40.4419,0.297649,0.106017,1745,185,183.359,0.179975,33,0.0116571,2,0.0018153,0.0745324
59,13473,41.1163,0.303294,0.104623,1768.25,185,181.905,0.18691,34,0.0117602,2,0.0018527,0.075587
60,13692,41.7847,0.290587,0.104967,1762.47,185,183.993,0.17392,32,0.0117006,2,0.0018945,0.0766889
61,13912,42.4561,0.29646,0.103179,1793,185,181.594,0.181724,33,0.0115575,2,0.0019472,0.0744914
62,14131,43.1244,0.292335,0.106519,1736.78,185,183.295,0.174582,32,0.0112341,2,0.0019082,0.0789831
63,14352,43.7988,0.308369,0.104265,1774.32,185,176.442,0.192698,34,0.0114059,2,0.0018754,0.0751619
64,14573,44.4733,0.301315,0.103052,1795.2,185,182.345,0.18646,34,0.0118024,2,0.0019055,0.0741065
65,14796,45.1538,0.313691,0.104645,1767.88,185,182.445,0.19732,36,0.0117261,2,0.0018982,0.0762344
66,15015,45.8221,0.292069,0.104216,1775.17,185,181.603,0.176208,32,0.0116453,2,0.0018705,0.0755672
67,15238,46.5027,0.316624,0.106306,1740.26,185,181.114,0.19877,36,0.0115483,2,0.0019227,0.0771801
68,15458,47.1741,0.305099,0.109382,1691.31,185,179.537,0.183806,33,0.0119103,2,0.0020327,0.0779578
69,15679,47.8485,0.308506,0.107986,1713.18,185,180.435,0.188433,34,0.0120858,2,0.0019641,0.0793475
70,15898,48.5168,0.302016,0.105813,1748.37,185,173.976,0.183934,32,0.0122689,2,0.0019711,0.0761398
71,16121,49.1974,0.317777,0.104886,1763.82,185,178.847,0.201289,36,0.0116021,2,0.0019541,0.0764278
72,16341,49.8688,0.302905,0.105493,1753.67,185,178.273,0.185109,33,0.0123032,2,0.0020113,0.0758227
73,16563,50.5463,0.317848,0.105756,1749.32,185,174.905,0.200109,35,0.0119842,2,0.0020263,0.0756747
74,16782,51.2146,0.302348,0.107116,1727.09,185,174.463,0.18342,32,0.0118119,2,0.0018816,0.0763379
75,17006,51.8982,0.329145,0.105519,1753.24,185,174.704,0.211787,37,0.0118396,2,0.0018915,0.0762003
76,17225,52.5665,0.30218,0.107023,1728.6,185,174.759,0.18311,32,0.0120477,2,0.0020152,0.0758793
77,17448,53.2471,0.329445,0.110917,1667.92,185,174.17,0.206695,36,0.0118334,2,0.0018427,0.0806749
78,17668,53.9185,0.314798,0.105215,1758.3,185,166.655,0.198014,33,0.0115681,2,0.0018282,0.0761098
79,17891,54.599,0.325664,0.106507,1736.97,185,173.417,0.207592,36,0.0115653,2,0.0018948,0.0775615
80,18110,55.2673,0.302614,0.107085,1727.59,185,174.302,0.18359,32,0.0119388,2,0.0017694,0.077849
81,18330,55.9387,0.309159,0.106518,1736.8,185,172.639,0.19115,33,0.011491,2,0.0018801,0.0773272
82,18550,56.6101,0.309794,0.107453,1721.69,185,173.182,0.190551,33,0.0117902,2,0.0019269,0.0782658
83,18773,57.2906,0.329381,0.107691,1717.87,185,172.107,0.209172,36,0.0125174,2,0.0020037,0.0766177
84,18993,57.962,0.315827,0.112476,1644.79,185,172.533,0.191268,33,0.0120824,2,0.0020009,0.0831974
85,19214,58.6365,0.323485,0.107134,1726.81,185,166.65,0.20402,34,0.0123313,2,0.0020057,0.0774226
86,19432,59.3018,0.299784,0.107767,1716.67,185,172.688,0.179515,31,0.0125027,2,0.0019251,0.0770574
87,19653,59.9762,0.316572,0.107183,1726.02,185,172.177,0.197471,34,0.0119178,2,0.001971,0.0771123
88,19875,60.6537,0.326081,0.109385,1691.27,185,170.699,0.20504,35,0.0116561,2,0.0019361,0.0783114
89,20095,61.3251,0.315242,0.108908,1698.68,185,170.121,0.19398,33,0.0123538,2,0.0018367,0.0795894
90,20315,61.9965,0.314399,0.108484,1705.32,185,170.001,0.194117,33,0.0117976,2,0.0020299,0.078553
91,20538,62.677,0.335589,0.110923,1667.83,185,169.115,0.212873,36,0.0117926,2,0.0019829,0.0809996
92,20757,63.3453,0.318653,0.110799,1669.69,185,163.25,0.196018,32,0.0118362,2,0.0020038,0.0804082
93,20981,64.0289,0.341407,0.109668,1686.92,185,168.507,0.219576,37,0.0121639,2,0.0018598,0.0782081
94,21202,64.7034,0.323032,0.110202,1678.74,185,169.407,0.2007,34,0.0121297,2,0.0020235,0.0796523
95,21421,65.3717,0.314472,0.114139,1620.83,185,169.729,0.188536,32,0.0117962,2,0.0019977,0.0793855
96,21641,66.0431,0.323019,0.112501,1644.42,185,166.124,0.198647,33,0.0118704,2,0.0018628,0.0798778
97,21862,66.7175,0.329027,0.10964,1687.35,185,164.437,0.206766,34,0.0126214,2,0.0019886,0.0787565
98,22081,67.3859,0.317564,0.113963,1623.33,185,167.149,0.191446,32,0.0121542,2,0.0018848,0.0842784
99,22304,68.0664,0.350628,0.110828,1669.25,185,158.172,0.2276,36,0.0121996,2,0.001886,0.0790722
100,22522,68.7317,0.31208,0.111861,1653.84,185,164.506,0.188443,31,0.0117766,2,0.0020655,0.078235
101,22743,69.4061,0.33356,0.113503,1629.91,185,163.631,0.207784,34,0.0122719,2,0.0019575,0.0815021
102,22962,70.0745,0.322974,0.113814,1625.46,185,162.392,0.197053,32,0.0121072,2,0.0018465,0.0793182
103,23185,70.755,0.343418,0.110551,1673.43,185,163.221,0.220561,36,0.0123063,2,0.0019315,0.0790244
104,23405,71.4264,0.326499,0.110498,1674.23,185,162.331,0.203289,33,0.0127122,2,0.0019152,0.0797657
105,23625,72.0978,0.328795,0.113325,1632.48,185,162.329,0.20329,33,0.0121798,2,0.001854,0.0814595
106,23845,72.7692,0.332305,0.115571,1600.74,185,161.541,0.204283,33,0.0124513,2,0.0018922,0.0845194
107,24066,73.4436,0.336002,0.111831,1654.29,185,160.684,0.211596,34,0.0125763,2,0.0019998,0.0802231
108,24287,74.118,0.334263,0.112579,1643.3,185,162.428,0.209323,34,0.0123608,2,0.0018743,0.0805681
109,24510,74.7986,0.349189,0.113883,1624.47,185,161.328,0.223148,36,0.0121575,2,0.0018233,0.0816992
110,24728,75.4639,0.318118,0.113772,1626.06,185,161.518,0.19193,31,0.0124165,2,0.0019336,0.0810185
111,24951,76.1444,0.347815,0.113081,1636,185,161.871,0.2224,36,0.0123345,2,0.0018891,0.0813283
112,25170,76.8127,0.325077,0.115112,1607.13,185,162.106,0.197402,32,0.0125629,2,0.0019393,0.0827247
113,25392,77.4902,0.347672,0.117527,1574.11,185,160.799,0.217663,35,0.0124817,2,0.0019358,0.0867074
114,25613,78.1647,0.341674,0.112531,1644,185,157.152,0.216352,34,0.0127921,2,0.0020748,0.0800306
115,25834,78.8391,0.338543,0.115032,1608.25,185,161.264,0.210835,34,0.0126767,2,0.0018956,0.0822373
116,26056,79.5166,0.34488,0.114087,1621.57,185,160.551,0.217999,35,0.0127943,2,0.0020541,0.0818068
117,26278,80.1941,0.344501,0.113534,1629.47,185,160.124,0.21858,35,0.0123869,2,0.0019053,0.0815306
118,26499,80.8685,0.341289,0.115015,1608.48,185,159.091,0.213714,34,0.0125599,2,0.0018822,0.0818275
119,26720,81.543,0.342708,0.114214,1619.76,185,157.498,0.215876,34,0.0126184,2,0.0018615,0.0822287
120,26939,82.2113,0.334721,0.118831,1556.83,185,157.14,0.20364,32,0.01225,2,0.0019306,0.0858392
121,27160,82.8857,0.366003,0.124297,1488.37,185,148.119,0.229545,34,0.0121609,2,0.002087,0.096061
122,27380,83.5571,0.349176,0.120891,1530.31,185,153.569,0.214887,33,0.013398,2,0.0019716,0.0883266
123,27603,84.2377,0.370415,0.117927,1568.77,185,152.417,0.236194,36,0.0162937,2,0.0018546,0.0907045
124,27822,84.906,0.347261,0.117825,1570.12,185,149.611,0.213887,32,0.0155488,2,0.0020004,0.0907679
125,28045,85.5865,0.369781,0.123177,1501.9,185,153.694,0.234231,36,0.0123723,2,0.0018267,0.0950102
126,28265,86.2579,0.354414,0.123944,1492.61,185,153.926,0.214388,33,0.0160816,2,0.0020561,0.0895744
127,28488,86.9385,0.37987,0.122656,1508.28,185,149.495,0.240811,36,0.0164024,2,0.0019433,0.0904503
128,28706,87.6038,0.338159,0.116615,1586.42,185,149.731,0.207038,31,0.0145059,2,0.0019681,0.0836853
129,28926,88.2751,0.349158,0.116284,1590.93,185,152.264,0.216729,33,0.0161446,2,0.0019064,0.0835955
130,29147,88.9496,0.366295,0.126349,1464.2,185,151.139,0.224959,34,0.0149873,2,0.0019276,0.0969766
131,29371,89.6332,0.389399,0.125948,1468.86,185,147.711,0.250489,37,0.012963,2,0.0019511,0.095502
132,29590,90.3015,0.351695,0.124863,1481.62,185,150.115,0.213171,32,0.0136606,2,0.001915,0.097248
133,29814,90.9851,0.384799,0.122674,1508.06,185,149.386,0.24768,37,0.0144455,2,0.0018949,0.0865151
134,30033,91.6534,0.347377,0.123768,1494.74,185,151.699,0.210943,32,0.012666,2,0.0018715,0.0946701
135,30256,92.334,0.379537,0.124396,1487.18,185,150.931,0.23852,36,0.0166208,2,0.0019829,0.095766
136,30475,93.0023,0.368783,0.127502,1450.96,185,142.605,0.224396,32,0.0168849,2,0.0021148,0.0984246
137,30698,93.6829,0.378293,0.119816,1544.04,185,147.942,0.243339,36,0.0151387,2,0.0019327,0.0859375
138,30918,94.3542,0.359832,0.128533,1439.31,185,150.92,0.218659,33,0.0126395,2,0.0018886,0.0996404
139,31141,95.0348,0.377901,0.12124,1525.9,185,149.384,0.24099,36,0.0156707,2,0.0019313,0.0928873
