iteration,kv_tokens,context_pct,wall_total_s,wall_ttft_s,wall_prefill_tok_s,prefill_tokens,wall_decode_tok_s,wall_decode_s,decode_tokens,commit_overhead_s,commit_tokens,phase_template_build_s,phase_prefill_s
1,152,0.463867,1.27905,0.313673,835.265,262,202.588,0.942799,191,0.0225755,152,0.0020819,0.283035
2,376,1.14746,1.09524,0.153476,1205.4,185,201.12,0.914875,184,0.026886,224,0.0017806,0.138357
3,600,1.83105,1.02798,0.0871701,2122.29,185,201.151,0.914735,184,0.0260742,224,0.0017893,0.0714483
4,675,2.05994,0.283505,0.100787,1835.55,185,212.847,0.164438,35,0.0182801,75,0.0017343,0.0764992
5,750,2.28882,0.289473,0.0935261,1978.06,185,205.35,0.170441,35,0.0255065,75,0.001811,0.0695705
6,825,2.5177,0.291716,0.0984212,1879.68,185,208.088,0.168198,35,0.0250972,75,0.0018575,0.0750346
7,900,2.74658,0.289571,0.0885097,2090.17,185,198.998,0.175881,35,0.0251801,75,0.0019184,0.0654127
8,975,2.97546,0.283521,0.0933599,1981.58,185,211.172,0.165742,35,0.0244191,75,0.0018197,0.0698716
9,1199,3.65906,1.05494,0.0892441,2072.97,185,195.718,0.940129,184,0.0255702,224,0.0019875,0.071876
10,1423,4.34265,1.05065,0.0874056,2116.57,185,196.283,0.937421,184,0.0258242,224,0.0019755,0.070014
11,1647,5.02625,1.05961,0.0942188,1963.51,185,195.842,0.939534,184,0.0258569,224,0.0019155,0.077266
12,1871,5.70984,1.05785,0.0897438,2061.42,185,195.413,0.941597,184,0.0265121,224,0.0020358,0.0723555
13,2095,6.39343,1.04599,0.100042,1849.22,185,200.056,0.919743,184,0.0262047,224,0.0017665,0.0833252
14,2170,6.62231,0.303314,0.10598,1745.62,185,197.584,0.17714,35,0.0201951,75,0.001861,0.0791666
15,2245,6.8512,0.28902,0.0959833,1927.42,185,207.758,0.168465,35,0.0245717,75,0.001824,0.0722859
16,2320,7.08008,0.296549,0.101784,1817.57,185,199.522,0.17542,35,0.0193449,75,0.0020315,0.075467
17,2544,7.76367,1.06861,0.0964103,1918.88,185,194.621,0.945425,184,0.0267701,224,0.0019161,0.0784195
18,2768,8.44727,1.06208,0.0903588,2047.39,185,194.798,0.944566,184,0.0271586,224,0.0019702,0.0724388
19,2843,8.67615,0.287686,0.0952408,1942.44,185,203.259,0.172194,35,0.0202513,75,0.0018435,0.070603
20,3067,9.35974,1.06141,0.0919692,2011.54,185,195.37,0.941801,184,0.0276367,224,0.0018622,0.0745818
21,3291,10.0433,1.10252,0.0917836,2015.61,185,187.182,0.983002,184,0.0277314,224,0.0018667,0.0746682
22,3366,10.2722,0.296159,0.101702,1819.03,185,201.948,0.173312,35,0.0211447,75,0.0019224,0.0705073
23,3441,10.5011,0.316582,0.113323,1632.5,185,190.54,0.183688,35,0.0195704,75,0.0019651,0.0851541
24,3516,10.73,0.287181,0.0974129,1899.13,185,205.5,0.170316,35,0.0194519,75,0.0018301,0.0709175
25,3591,10.9589,0.299836,0.105705,1750.15,185,201.165,0.173986,35,0.0201451,75,0.0018932,0.0804423
26,3815,11.6425,1.08119,0.0937006,1974.37,185,191.654,0.960061,184,0.0274273,224,0.0019231,0.0730995
27,3890,11.8713,0.292498,0.0986339,1875.62,185,200.588,0.174487,35,0.0193765,75,0.0020224,0.0728798
28,4114,12.5549,1.10503,0.0904296,2045.79,185,186.56,0.986275,184,0.0283269,224,0.0018101,0.0729088
29,4338,13.2385,1.09001,0.0930221,1988.77,185,189.801,0.969437,184,0.0275488,224,0.0018232,0.0754438
30,4413,13.4674,0.292034,0.0977786,1892.03,185,201.403,0.173781,35,0.0204744,75,0.001956,0.0725514
31,4637,14.151,1.10566,0.0977779,1892.04,185,187.97,0.97888,184,0.0290004,224,0.0018381,0.0793802
32,4712,14.3799,0.298753,0.103632,1785.17,185,200.013,0.174988,35,0.0201331,75,0.001843,0.0780075
33,4787,14.6088,0.303065,0.102747,1800.54,185,194.507,0.179942,35,0.0203765,75,0.0019576,0.0763002
34,4862,14.8376,0.30234,0.104669,1767.48,185,197.103,0.177572,35,0.020099,75,0.0018733,0.0786846
35,4937,15.0665,0.30304,0.107742,1717.06,185,199.655,0.175303,35,0.0199948,75,0.0018233,0.0823251
36,5012,15.2954,0.291005,0.0927612,1994.37,185,199.395,0.175531,35,0.0227128,75,0.001941,0.0669923
37,5087,15.5243,0.292539,0.0990359,1868.01,185,201.531,0.173671,35,0.0198322,75,0.0020223,0.0732956
38,5311,16.2079,1.09664,0.0933664,1981.44,185,188.874,0.974196,184,0.0290818,224,0.0020902,0.0751638
39,5386,16.4368,0.295279,0.0983326,1881.37,185,198.183,0.176605,35,0.0203414,75,0.0018108,0.0712644
40,5461,16.6656,0.30088,0.102708,1801.22,185,196.828,0.17782,35,0.0203519,75,0.0018789,0.0758661
41,5536,16.8945,0.297605,0.0998478,1852.82,185,197.414,0.177293,35,0.0204643,75,0.0019113,0.0726124
42,5611,17.1234,0.304558,0.101566,1821.48,185,195.003,0.179484,35,0.0235086,75,0.00191,0.0755877
43,5686,17.3523,0.299877,0.100412,1842.41,185,199.696,0.175267,35,0.0241982,75,0.0017977,0.0752271
44,5927,18.0878,1.19923,0.0874383,2115.78,185,186.222,1.07936,201,0.0324368,241,0.0018989,0.0687261
45,6002,18.3167,0.309117,0.104218,1775.13,185,189.575,0.184623,35,0.0202759,75,0.0019288,0.0758126
46,6077,18.5455,0.300533,0.102059,1812.68,185,197.224,0.177463,35,0.0210107,75,0.001942,0.0757425
47,6301,19.2291,1.14334,0.0980124,1887.52,185,181.055,1.01626,184,0.0290618,224,0.0018853,0.0800435
48,6376,19.458,0.305308,0.103523,1787.04,185,192.866,0.181473,35,0.0203122,75,0.0020108,0.0747412
49,6451,19.6869,0.314346,0.114548,1615.04,185,196.4,0.178208,35,0.0215892,75,0.0019774,0.0864217
50,6686,20.4041,1.18692,0.0870374,2125.52,185,182.551,1.06819,195,0.0316917,235,0.0019347,0.0674395
51,6910,21.0876,1.14922,0.102663,1802.02,185,181.204,1.01543,184,0.0311315,224,0.0018112,0.0825062
52,6985,21.3165,0.30572,0.106225,1741.58,185,195.941,0.178625,35,0.0208689,75,0.0020535,0.0789695
53,7060,21.5454,0.32204,0.11483,1611.08,185,192.293,0.182014,35,0.0251967,75,0.001901,0.0860041
54,7284,22.229,1.161,0.10828,1708.53,185,179.938,1.02257,184,0.0301496,224,0.0017927,0.0881181
55,7508,22.9126,1.15719,0.105179,1758.91,185,180.199,1.0211,184,0.0309149,224,0.0020209,0.0845221
56,7732,23.5962,1.15065,0.093919,1969.78,185,179.419,1.02553,184,0.0312032,224,0.0018632,0.0753815
57,7807,23.8251,0.317876,0.1063,1740.36,185,183.992,0.190225,35,0.0213509,75,0.0018436,0.0743892
58,8031,24.5087,1.16356,0.101029,1831.15,185,178.357,1.03164,184,0.0308931,224,0.0018855,0.0825006
59,8255,25.1923,1.16567,0.102431,1806.1,185,178.261,1.03219,184,0.0310486,224,0.0019844,0.0836907
60,8330,25.4211,0.316008,0.106834,1731.66,185,186.633,0.187534,35,0.0216398,75,0.0019508,0.0786582
61,8405,25.65,0.30728,0.100687,1837.38,185,188.46,0.185716,35,0.0208778,75,0.0019807,0.0728512
62,8480,25.8789,0.31018,0.101872,1816.01,185,189.487,0.18471,35,0.0235982,75,0.0018579,0.0758102
63,8555,26.1078,0.319032,0.107204,1725.68,185,184.331,0.189876,35,0.0219517,75,0.00203,0.0791445
64,8630,26.3367,0.323121,0.110084,1680.53,185,183.275,0.19097,35,0.0220667,75,0.0018845,0.0814736
65,8854,27.0203,1.196,0.0929289,1990.77,185,171.677,1.07178,184,0.031288,224,0.0019568,0.0730198
66,8929,27.2491,0.305529,0.104039,1778.18,185,193.935,0.180473,35,0.0210175,75,0.0018318,0.0751427
67,9004,27.478,0.325899,0.119278,1550.99,185,189.122,0.185066,35,0.0215547,75,0.0018484,0.0907721
68,9228,28.1616,1.15938,0.0889749,2079.24,185,177.155,1.03864,184,0.0317726,224,0.0018955,0.0698286
69,9303,28.3905,0.324788,0.110254,1677.94,185,184.625,0.189574,35,0.0249603,75,0.0017791,0.0817503
70,9378,28.6194,0.325403,0.118153,1565.76,185,188.57,0.185607,35,0.0216423,75,0.001881,0.0909166
71,9453,28.8483,0.307233,0.101876,1815.93,185,190.675,0.183559,35,0.0217985,75,0.0019796,0.0736404
72,9528,29.0771,0.309378,0.103569,1786.25,185,190.399,0.183825,35,0.0219847,75,0.0018532,0.0758445
73,9603,29.306,0.311954,0.0953336,1940.55,185,181.06,0.193306,35,0.023314,75,0.0019787,0.0684098
74,9827,29.9896,1.16926,0.0963885,1919.32,185,176.798,1.04074,184,0.032138,224,0.0018338,0.0787179
75,9902,30.2185,0.333566,0.125689,1471.89,185,188.028,0.186143,35,0.0217347,75,0.0019898,0.0949906
76,9977,30.4474,0.315217,0.103543,1786.69,185,188.479,0.185697,35,0.0259772,75,0.001952,0.0752342
77,10201,31.131,1.20605,0.110455,1674.88,185,173.034,1.06337,184,0.0322153,224,0.0018381,0.0898183
78,10276,31.3599,0.328891,0.117917,1568.89,185,185.059,0.189129,35,0.0218443,75,0.0018643,0.0904244
79,10351,31.5887,0.326022,0.116835,1583.43,185,186.669,0.187497,35,0.0216901,75,0.0020389,0.0884742
80,10426,31.8176,0.329021,0.117038,1580.69,185,184.43,0.189774,35,0.0222094,75,0.0019102,0.0858045
81,10501,32.0465,0.33595,0.122564,1509.42,185,186.101,0.18807,35,0.0253167,75,0.0018451,0.0953227
82,10752,32.8125,1.37506,0.104048,1778.03,185,170.75,1.23572,211,0.0352959,251,0.0021638,0.0828623
83,10827,33.0414,0.333367,0.117806,1570.38,185,183.34,0.190902,35,0.0246591,75,0.0021176,0.0862173
84,10902,33.2703,0.317622,0.105875,1747.34,185,184.609,0.189589,35,0.022157,75,0.0022231,0.0768886
85,11126,33.9539,1.24262,0.111888,1653.43,185,167.602,1.09784,184,0.0328931,224,0.0019025,0.0917997
86,11201,34.1827,0.327258,0.111061,1665.75,185,180.022,0.194421,35,0.021776,75,0.0019585,0.0812845
87,11276,34.4116,0.331604,0.116267,1591.16,185,181.078,0.193287,35,0.0220499,75,0.001924,0.0876604
88,11351,34.6405,0.325403,0.111467,1659.69,185,182.038,0.192268,35,0.0216683,75,0.0021227,0.0832957
89,11426,34.8694,0.320744,0.106302,1740.33,185,181.747,0.192576,35,0.0218672,75,0.0019217,0.075526
90,11501,35.0983,0.335508,0.119116,1553.1,185,180.054,0.194387,35,0.0220048,75,0.0019553,0.0907004
91,11576,35.3271,0.317751,0.106454,1737.84,185,184.488,0.189715,35,0.0215824,75,0.0019702,0.0790347
92,11651,35.556,0.334635,0.105988,1745.47,185,169.395,0.206618,35,0.0220283,75,0.0018965,0.0810524
93,11726,35.7849,0.334211,0.118097,1566.5,185,182.249,0.192045,35,0.0240686,75,0.0020601,0.087376
94,11801,36.0138,0.320889,0.107149,1726.56,185,182.182,0.192116,35,0.0216238,75,0.001841,0.0792597
95,11876,36.2427,0.31854,0.0997405,1854.81,185,178.053,0.196571,35,0.0222287,75,0.0019059,0.0707643
96,11951,36.4716,0.318381,0.103464,1788.06,185,181.322,0.193027,35,0.0218899,75,0.0019751,0.0731073
97,12026,36.7004,0.330749,0.112619,1642.7,185,178.438,0.196147,35,0.0219829,75,0.0019411,0.0836798
98,12261,37.4176,1.26464,0.100414,1842.38,185,172.771,1.12866,195,0.0355617,235,0.0018524,0.0792294
99,12336,37.6465,0.319262,0.104704,1766.89,185,182.299,0.191992,35,0.0225666,75,0.0021894,0.0747894
100,12411,37.8754,0.331469,0.108375,1707.04,185,174.371,0.200721,35,0.0223729,75,0.001909,0.0791032
101,12651,38.6078,1.29915,0.0965835,1915.44,185,171.447,1.16654,200,0.0360291,240,0.0018612,0.0761047
102,12880,39.3066,1.22957,0.0998417,1852.93,185,172.732,1.09418,189,0.0355549,229,0.0019056,0.0788319
103,13104,39.9902,1.19681,0.0959628,1927.83,185,172.518,1.06656,184,0.034284,224,0.0019221,0.0747111
104,13179,40.2191,0.327434,0.103528,1786.95,185,173.402,0.201843,35,0.022063,75,0.0020257,0.0746589
105,13408,40.918,1.23179,0.0981197,1885.45,185,172.238,1.09732,189,0.0363478,229,0.0018488,0.0779143
106,13632,41.6016,1.20525,0.101583,1821.17,185,172.112,1.06907,184,0.034601,224,0.0020059,0.0812511
107,13856,42.2852,1.20922,0.0981,1885.83,185,170.919,1.07654,184,0.03458,224,0.0018491,0.0764965
108,14080,42.9688,1.21293,0.0969633,1907.94,185,170.232,1.08088,184,0.0350895,224,0.0019041,0.0764691
109,14155,43.1976,0.325034,0.105484,1753.81,185,178.265,0.196337,35,0.023213,75,0.0019144,0.0753387
110,14230,43.4265,0.326413,0.107148,1726.58,185,178.276,0.196324,35,0.0229401,75,0.0019565,0.0789321
111,14473,44.1681,1.32986,0.0970641,1905.96,185,170.208,1.19266,203,0.0401438,243,0.0020489,0.076663
112,14548,44.397,0.322713,0.104461,1771,185,178.771,0.195781,35,0.0224704,75,0.0020357,0.0750469
113,14623,44.6259,0.326841,0.107955,1713.68,185,178.752,0.195802,35,0.0230843,75,0.0018177,0.0785159
114,14847,45.3094,1.21519,0.0951332,1944.64,185,169.68,1.0844,184,0.0356587,224,0.0018648,0.0733776
115,14922,45.5383,0.326382,0.104975,1762.33,185,176.103,0.198747,35,0.0226602,75,0.0018924,0.0743989
116,14997,45.7672,0.332553,0.113272,1633.24,185,178.586,0.195984,35,0.0232971,75,0.002031,0.0832348
117,15072,45.9961,0.325273,0.106957,1729.67,185,179.224,0.195286,35,0.0230309,75,0.0019265,0.0769216
118,15147,46.225,0.335702,0.114118,1621.13,185,176.688,0.198089,35,0.0234955,75,0.0018022,0.0803216
119,15222,46.4539,0.329042,0.100568,1839.54,185,170.176,0.205669,35,0.0228043,75,0.0019348,0.0726547
120,15297,46.6827,0.329239,0.10743,1722.05,185,176.833,0.197927,35,0.0238825,75,0.0019409,0.0773656
121,15372,46.9116,0.327972,0.108413,1706.44,185,178.293,0.196306,35,0.0232529,75,0.0019923,0.0795615
122,15447,47.1405,0.322016,0.101623,1820.46,185,177.25,0.197461,35,0.0229327,75,0.0019313,0.0716034
123,15522,47.3694,0.324892,0.101186,1828.32,185,174.796,0.200233,35,0.0234736,75,0.0018551,0.0719957
124,15597,47.5983,0.325751,0.106436,1738.13,185,178.248,0.196355,35,0.0229599,75,0.0019089,0.0771889
125,15672,47.8271,0.329315,0.109283,1692.86,185,177.607,0.197064,35,0.0229686,75,0.0020476,0.0800424
126,15901,48.526,1.25601,0.0931161,1986.77,185,167.99,1.12507,189,0.037828,229,0.0019215,0.0714786
127,15976,48.7549,0.331344,0.107461,1721.55,185,174.585,0.200476,35,0.0234069,75,0.0018408,0.0771988
128,16051,48.9838,0.332762,0.109832,1684.39,185,175.894,0.198984,35,0.023946,75,0.0019137,0.0801917
129,16126,49.2126,0.328631,0.106387,1738.93,185,176.034,0.198826,35,0.023418,75,0.0019699,0.0768693
130,16201,49.4415,0.334754,0.109815,1684.65,185,173.706,0.20149,35,0.0234492,75,0.0018894,0.0803253
131,16276,49.6704,0.329195,0.102235,1809.56,185,172.589,0.202794,35,0.0241655,75,0.0019511,0.0718645
132,16351,49.8993,0.331072,0.106633,1734.92,185,174.06,0.201081,35,0.0233577,75,0.0018966,0.0770106
133,16598,50.6531,1.41064,0.10552,1753.22,185,163.702,1.26449,207,0.0406297,247,0.0020047,0.0818635
134,16836,51.3794,1.35125,0.0987434,1873.54,185,163.176,1.21341,198,0.0390876,238,0.0018848,0.0776723
135,16911,51.6083,0.334399,0.107647,1718.58,185,172.399,0.203018,35,0.0237336,75,0.0018752,0.0773667
136,16986,51.8372,0.340997,0.113453,1630.63,185,171.538,0.204036,35,0.0235075,75,0.0018638,0.0835245
137,17226,52.5696,1.34955,0.0949334,1948.73,185,164.632,1.21483,200,0.0397924,240,0.0019606,0.0737609
138,17301,52.7985,0.338346,0.108312,1708.03,185,169.677,0.206274,35,0.0237599,75,0.0018996,0.0762388
139,17539,53.5248,1.35195,0.0988449,1871.62,185,163.17,1.21346,198,0.039649,238,0.0019663,0.076528
140,17614,53.7537,0.337224,0.109302,1692.56,185,171.532,0.204044,35,0.0238785,75,0.001917,0.0785774
141,17689,53.9825,0.352174,0.112595,1643.05,185,161.875,0.216217,35,0.0233622,75,0.0021046,0.082395
142,17764,54.2114,0.332918,0.10474,1766.28,185,171.792,0.203735,35,0.024443,75,0.0021205,0.0740812
143,17839,54.4403,0.345416,0.106657,1734.53,185,163.263,0.214378,35,0.0243812,75,0.002378,0.0757101
144,17914,54.6692,0.351277,0.111747,1655.53,185,163.651,0.21387,35,0.0256598,75,0.0022611,0.0799962
145,17989,54.8981,0.34652,0.115988,1594.99,185,169.716,0.206227,35,0.0243056,75,0.0021152,0.0850748
146,18064,55.127,0.362061,0.119254,1551.31,185,159.757,0.219083,35,0.0237241,75,0.0020224,0.0898403
147,18139,55.3558,0.351446,0.121277,1525.43,185,169.917,0.205983,35,0.0241852,75,0.0019979,0.0921839
148,18214,55.5847,0.357561,0.126869,1458.2,185,169.41,0.2066,35,0.024092,75,0.002279,0.0972439
149,18289,55.8136,0.357691,0.119316,1550.5,185,163.212,0.214445,35,0.0239295,75,0.0021362,0.0905228
150,18364,56.0425,0.344972,0.11349,1630.1,185,169.239,0.206808,35,0.0246745,75,0.0020312,0.0827477
151,18439,56.2714,0.348679,0.118774,1557.58,185,169.849,0.206066,35,0.0238392,75,0.002157,0.08941
152,18514,56.5002,0.343135,0.107464,1721.5,185,165.565,0.211398,35,0.0242731,75,0.0019705,0.0770606
